# Décisions éditoriales, cumulées au fil des revues.
#
# keep    : validé, et conservé même si un plancher venait à monter.
# drop    : écarté du catalogue.
# promote : remonté dans le classement. Sur un lieu hors de sa collection
#           nationale, il l'y fait ENTRER, à son rang, et rien de plus.
# promote2: le fait entrer ET le monte d'un cran. À n'employer que là où
#           `promote` ne ferait qu'entrer — ailleurs il vaut `promote`.
# demote  : descendu dans le classement.
#
# Ce fichier est la mémoire de la curation. Le supprimer perd tout le travail
# de relecture ; en corriger une ligne suffit à revenir sur un verdict.
#
wikidata_id,decision,name,note
Q605185,keep,Grotte Bleue,
Q607126,keep,Château de Fénis,
Q60847935,keep,Cascades de Riva,
Q617873,drop,Valtournenche,
Q622309,drop,Alpes apuanes,
Q622438,keep,Domus aurea,
Q623612,keep,Autel de la paix d'Auguste,
Q625139,drop,Plateau du Karst,
Q625149,keep,Mur d'Aurélien,
Q628491,keep,Teatro San Carlo,
Q63141,keep,Lac d'Orta,
Q636774,keep,Vallée des Temples,
Q637248,promote,Musée archéologique national de Naples,
Q63793,drop,Val Germanasca,
Q638283,demote,Église Saint-Louis-des-Français,
Q64103,drop,Palais des Conservateurs,
Q6414,keep,Lac de Garde,
Q641556,keep,Arènes de Vérone,
Q642002,keep,Arene Candide,
Q644159,drop,Val Badia,
Q644288,keep,Mausolée de Galla Placidia,
Q645041,keep,Castello dell’ovo,
Q648679,keep,Lac de Nemi,
Q649030,keep,Ghetto de Venise,
Q649957,demote,Alicudi,
Q654105,keep,Panarea,
Q654443,keep,Chartreuse de Pavie,
Q657150,drop,Val Polcevera,
Q657629,demote,Palazzo Davanzati,
Q659138,keep,Théâtre de Marcellus,
Q660390,drop,Alpes carniques,
Q660758,drop,Tino,
Q671343,drop,Massif du Mont-Blanc,
Q671481,drop,Tyndaris,
Q676074,drop,Cirque de Caligula et de Néron,
Q678313,keep,Villa Borghèse,
Q685105,drop,Valteline,
Q68663076,keep,Chute d'Isollaz,
Q690168,drop,Val d'Ossola,
Q690199,drop,Val Divedro,
Q691073,keep,Monts Sibyllins,
Q692847,keep,Ségeste,
Q698451,drop,Val Pusteria,
Q701820,keep,Monte Grappa,
Q719794,keep,Église du Gesù,
Q721817,keep,Basilique Saint-Vital,
Q722964,drop,Valle d'Itria,
Q72356,drop,Poggiomarino,
Q723887,keep,Arc de Titus,
Q729764,keep,Mont Époméo,
Q729873,keep,Mont Somma,
Q730500,keep,Asinara,
Q731916,keep,Monte Pellegrino,
Q732511,keep,Baptistère Saint-Jean,
Q734317,drop,Val Camonica,
Q735628,drop,Salento,
Q743908,keep,Filicudi,
Q744552,keep,Basilique Saint-Apollinaire de Classe,
Q746063,keep,Villa d'Este,
Q747484,keep,Théâtre de Taormine,
Q750245,keep,Piazza dei Miracoli,
Q752327,keep,Phare de la Victoire,
Q753721,keep,Cathédrale de Modène,
Q754194,keep,Campanile de Saint-Marc,
Q754314,drop,Tusculum,
Q755123,keep,Champs Phlégréens,
Q757114,keep,Palmaria,
Q763332,keep,Gargano,
Q76925,keep,Lagune de Venise,
Q770847,drop,Mausolée d'Auguste,
Q774128,keep,Galleria Estense,
Q781219,keep,Castel Nuovo,
Q782896,keep,Lac Averne,
Q786664,drop,Valle Sabbia,
Q810104,keep,Basilique Sainte-Claire de Naples,
Q810128,keep,Basilique patriarcale d'Aquilée,
Q810139,keep,Église du Santo,
Q824997,keep,Piazza del Popolo,
Q832278,keep,Basilique Saint-Apollinaire-le-Neuf,
Q833129,keep,Abbaye de Casamari,
Q83425,keep,Place Saint-Pierre,
Q838986,keep,Musée Bagatti Valsecchi,
Q84090,keep,Basilique Saint-Jean-de-Latran,
Q841506,keep,Galerie Borghèse,
Q842184,drop,Cilento,
Q844263,demote,San Michele,
Q845310,keep,Caprera,
Q84709324,demote,Viaduc Gênes-Saint-Georges,
Q848386,keep,Palais Farnèse,
Q848394,demote,Palais de Latran,
Q848422,keep,Jardin botanique de Naples,
Q849448,keep,Lac d'Albano,
Q849846,keep,Piazza della Signoria,
Q854843,drop,Camarina,
Q859732,keep,Chartreuse Saint-Martin,
Q862602,keep,Basilique San Domenico,
Q866498,keep,Galerie Palatine,
Q869513,keep,Église Santa Maria del Popolo,
Q874832,keep,Piazza Venezia,
Q894646,keep,Jardin botanique Hanbury,
Q894656,keep,Jardin botanique de Palerme,
Q896551,keep,Lac de Bracciano,
Q897839,keep,Chapelle Sansevero,
Q902532,keep,Teatro olimpico,
Q911047,keep,Palais Medici-Riccardi,
Q912934,keep,Île San Pietro,
Q924853,drop,Grotte du Chien,
Q931172,demote,Vulci,
Q931434,keep,Nécropole de Pantalica,
Q943209,drop,Solfatare,
Q944814,drop,Théâtre de Pompée,
Q949846,keep,Jardin des Tarots,
Q952173,keep,Sélinonte,
Q952653,drop,Vallée Anzasca,
Q957551,keep,Ca' Foscari,
Q958490,drop,Vallée de Ledro,
Q962184,drop,Motyé,
Q963954,keep,Chapelle des Scrovegni,
Q973243,keep,Phare de Punta Penna,
Q975319,drop,Val Vigezzo,
Q989650,keep,Mont Algide,
Q99309,keep,Panthéon,
