# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1283476,3,monuments,Palais de la civilisation italienne
Q1283790,2,piazzas,Piazza della Repubblica
Q1287865,3,cathedrales,Cathédrale de Fidenza
Q12912417,3,maisons,Maison de Mosse
Q1292498,3,musees,Kaulon
Q129333375,3,plages,Capo Santa Croce
Q129333409,3,plages,Punta Murena
Q1294402,3,musees,Musée archiépiscopal de Ravenne
Q1299731,3,sommets,Monte Beigua
Q1303856,2,cathedrales,Abbaye de Monreale
Q1306549,3,cathedrales,Dôme San Lorenzo
Q131148,1,iles,Stromboli
Q13139,1,villages,Fermo
Q13196191,3,chateaux,Forte Gonzaga
Q1321161,1,volcans,Vulcanello
Q13291063,1,chateaux,Château de Torrechiara
Q1331708,3,monuments,Teatro Giuseppe Verdi
Q1332805,3,sommets,Corno Nero
Q1332930,1,grottes,Grottes de Toirano
Q1334215,3,sommets,Mont Soracte
Q1339290,3,megalithes,Pont Saint-Martin
Q133963,2,jardins,Parco Sempione
Q13409862,3,iles,Île de Giglio
Q13453137,3,musees,Musée national San Marco
Q1348158,3,piazzas,Piazzale Michelangelo
Q1351222,1,ponts,Pont Nomentano
Q1354756,3,cathedrales,Cathédrale de Cefalù
Q135580575,3,plages,Punta Mesco
Q1362663,1,maisons,Villa Médicis
Q13635068,3,megalithes,Hybla Heraea
Q13645,3,villages,Tempio Pausania
Q13649,2,villages,Nuoro
Q1376633,2,maisons,Villa di Pratolino
Q137791400,3,plages,Spiaggia di Boccadasse
Q1383830,3,megalithes,Parthénope
Q1386054,3,sommets,Mont Prado
Q1394400,3,villages,Porto Ercole
Q139600970,2,cascades,Cascata di Fondo
Q139980983,2,cascades,Cascata di Salino
Q1399844,3,lacs,Lac de Fedaia
Q1403009,3,lacs,Lago Coghinas
Q140378242,1,cascades,Fontanon di Goriuda
Q1405208,3,monuments,Palais Antonini
Q140523147,1,cascades,Cascate del Rutor
Q1405489,3,sommets,Monte Bregagno
Q1406358,3,monuments,Palais Schio
Q1407745,2,lacs,Lac de Ledro
Q1407816,3,monuments,Teatro Grande
Q1411612,3,piazzas,Piazza De Ferrari
Q141423,3,villages,Suvereto
Q1414778,3,iles,Île Polvese
Q1416530,2,lacs,Lac de Carezza
Q1421391,3,maisons,Palais Riso
