# Candidats adoptés depuis OpenStreetMap.
#
# Trouvés parce qu'un lieu porte des horaires ou un tarif — un fait de terrain
# — là où Wikidata ne le classait dans aucune des classes interrogées. Ils
# n'ont aucun privilège : ils sont scorés, soumis au plancher de notoriété et
# dédoublonnés comme les autres. Ce fichier existe pour que `fetch` les
# retrouve, et pour qu'une ligne retirée à la main le reste.
#
wikidata_id,theme_id,note
Q55359649,musees,
Q55359882,musees,
Q55360046,musees,
Q55360153,musees,Physics Museum of the Sapienza University of Rome
Q55360161,musees,
Q55360210,musees,Museo civico etrusco romano Prof. G. Bianchini di Trevignano Romano
Q55360428,musees,
Q55360537,musees,"Museo delle cere anatomiche ""L. Cattaneo"""
Q55360576,musees,Musée de physique de l'Université de Bologne
Q55360618,musees,Casa Museo Giorgio Morandi
Q55360648,musees,Collezione di anatomia patologica e teratologia veterinaria Alessandrini - Ercolani
Q55360658,musees,Archaeological Environmental Museum (San Giovanni in Persiceto)
Q55360722,musees,Pinacoteca Civica di Arte Moderna (Modigliana)
Q55360886,musees,Museo dell'aceto balsamico tradizionale
Q55360912,musees,Museo Luigi Illica
Q55368647,musees,"Casa Museo ""Raffaele Bendandi"""
Q55368995,musees,
Q55369030,musees,Museo delle conchiglie
Q55369104,musees,
Q55369197,musees,Museo Storico
Q55369904,musees,Museo Civico Messapico
Q55370155,musees,
Q55370174,musees,Museo del Ferro
Q55370188,musees,Sale d'Arte
Q55370194,musees,"Museo del cappello ""Giuseppe Borsalino"""
Q55370238,musees,Gipsoteca Monteverde
Q55370383,musees,"Museo paleontologico ""Giulio Maini"""
Q55370591,musees,Castello e Museo di Arti e Mestieri di un Tempo
Q55370893,musees,Casa museo Alta Valle del Cervo
Q55370907,musees,Museo della Passione
Q55370968,musees,
Q55371323,musees,Museo civico della stampa
Q55371370,musees,Ecomuseo della Pastorizia
Q55371421,musees,Museo storico etnografico
Q55371527,musees,Museo - Fondazione Calderara
Q55371590,musees,Museo manzoniano
Q55371672,musees,
Q55371715,musees,
Q55371749,musees,"Ecomuseo delle Guide Alpine ""Antonio Castagneri"""
Q55371846,musees,Ecomuseo della Canapa
Q55371855,musees,Museo delle Genti e delle Valli di Lanzo
Q55371875,musees,Martini & Rossi
Q55372009,musees,Mulino superiore
Q55372056,musees,"Centro studi e museo d'arte preistorica (Pinerolo, Italy)"
Q55372063,musees,Collezione civica d'arte di Pinerolo
Q55372095,musees,
Q55372175,musees,Museo Valdese
Q55372218,musees,
Q55372284,musees,Ecomuseo del Freidano
Q55372352,musees,Museo Francesco Faà di Bruno
Q55372550,musees,
Q55372579,musees,
Q55372596,musees,Ecomuseo Feltrificio Crumiere
Q55372682,musees,Museo dell'Arte del Cappello
Q55372708,musees,Museo etnografico di Gurro e della Valle Cannobina
Q55372756,musees,
