decision,curator_note,theme_id,name,wikidata_id
keep,,,"Villa Doria Pamphilj",Q774654
keep,,,"Villa Lysis",Q934070
keep,,,"Villa Medicea di Fiesole",Q206365
drop,,,"Palazzo Nicolò Spinola di San Luca",Q3890553
keep,,,"Palais Chiericati",Q729773
demote,,musees,"Musée Boncompagni Ludovisi des Arts décoratifs",Q3867580
keep,,,"Villa Olmo",Q1516590
keep,,,"Villa Godi Malinverni",Q2084394
keep,,,"Villa Torlonia",Q474857
drop,,,"Musée archéologique national Jatta",Q3867701
keep,,,"Casa-museo Boschi Di Stefano",Q3661033
demote,,,"Maison-musée Pascoli",Q3661337
demote,,,"Musée national du judaïsme italien et de la Shoah",Q20744415
keep,,,"Ostie",Q1012797
keep,,,"Forum Romain",Q180212
keep,,,"Circus Maximus",Q207808
keep,,,"Mur d'Aurélien",Q625149
keep,,,"Ségeste",Q692847
keep,,,"Forum de Trajan",Q211295
keep,,,"Théâtre de Taormine",Q747484
keep,,,"Mausolée de Galla Placidia",Q644288
keep,,,"Villa des Mystères",Q1241298
keep,,,"Nécropole de Pantalica",Q931434
keep,,,"Stabies",Q547910
keep,,,"Temple d'Apollon",Q2699249
keep,,,"Arc de Bénévent",Q2142241
keep,,,"Scolacium",Q1084264
keep,,,"Sassi de Matera",Q2350404
keep,,,"Amphithéâtre de Pompéi",Q2015116
keep,,,"Théâtre grec de Syracuse",Q1058967
drop,,,"Préneste",Q2107419
drop,,,"Taras",Q3981082
keep,,,"Egnazia",Q732732
keep,,,"Temple d'Isis",Q3517528
keep,,,"Temple de Poséidon à Paestum",Q453634
drop,,,"Capoue antique",Q3136685
keep,,,"Grottes de Catulle",Q3777121
keep,,,"Villa Poppaea",Q542944
keep,,,"Baptistère de Pise",Q1278477
keep,,,"Arc de Constantin",Q5786
keep,,,"Palais des Normands",Q1473825
keep,,,"La Fenice",Q223942
keep,,,"Palais Gerolamo Grimaldi",Q3890183
keep,,,"Teatro olimpico",Q902532
keep,,,"Campanile de Saint-Marc",Q754194
keep,,,"Teatro San Carlo",Q628491
keep,,,"Palais Barberini",Q1136614
keep,,,"Campanile de Santa Maria del Fiore",Q1140023
keep,,,"Colonne de Marc-Aurèle",Q265384
