wikidata_id,theme_id,note,nom,departement,osm_id,horaires,tarif,site_web,lat,lon
Q88541099,musees,Museo del Risparmio,Museo del Risparmio,001,node/6434268049,Mo-Su 10:00-19:00; Tu off,yes,https://www.museodelrisparmio.it/,45.071948,7.680148
,musees,Museo del Profumo,Museo del Profumo,015,node/9570889992,"Mo-Su 10:00, 15:00 ""by appointment""",yes,https://museodelprofumo.it/,45.488870,9.170695
Q55391741,musees,Museo del Piropo,Museo del Piropo,004,node/6419506314,Mar-Oct: Su 14:30-18:30,no,https://www.beniculturali.it/luogo/museo-del-piropo,44.626695,7.366884
Q3867957,musees,Museo del Mare,Museo del Mare,049,node/4096962706,Mo-Fr 09:30-13:30,no,http://www.biomare.it/,42.921429,10.526174
Q27992746,musees,Museo del Giocattolo,Museo del Giocattolo,004,node/4343768053,"Su 10:00-12:30,15:00-18:30; Mo-Fr ""by appointment""",yes,http://www.museodelgiocattolobra.it,44.695510,7.846673
Q20008341,musees,Museo del Fantastico e della Fantascienza,Museo del Fantastico e della Fantascienza,001,node/6422388352,Th-Su 15:30-19:00,yes,https://www.mufant.it,45.107143,7.691495
Q68298731,musees,Museo del Baco da Seta,Museo del Baco da Seta,003,node/1627079097,"""by appointment""",no,https://www.comune.cressa.no.it/it-it/vivere-il-comune/cosa-vedere/museo-del-baco-da-seta-30845-1-cde2049e601f0d4a9b604f1dbd21f2be,45.648580,8.508705
Q3867886,musees,Museo degli orologi da torre,Museo degli orologi da torre,062,way/327729643,"Tu-Su 09:00-13:00,15:00-18:00",yes,https://www.comune.sanmarcodeicavoti.bn.it/new/museo-degli-orologi/,41.308029,14.876660
Q107369545,musees,Museo d'arte Paolo Pini,Museo d'arte Paolo Pini,015,node/8064773204,"Mo-Fr 09:00-16:00, Sa-Su off",no,https://www.mapp-arca.it/,45.521561,9.163971
Q3867867,musees,Museo d'arte Moderna e contemporanea Antonio Ortiz Echagüe,Museo d'arte Moderna e contemporanea Antonio Ortiz Echagüe,114,way/296547906,"Jun-Aug Tu-Su 10:00-13:00,15:00-19:00; Sep-May Tu-Su 10:00-13:00,16:00-19:00",yes,http://web.tiscali.it/balero/,39.991549,9.075085
Q27992938,musees,Museo civico archeologico etnografico Carlo Giacomo Fanchini,Museo civico archeologico etnografico Carlo Giacomo Fanchini,003,node/6225334165,Mo-Fr 09:00-12:00; Sa 15:30-18:30; Su[-1] 15:30-18:30; Sa[-1] off,no,http://museo.comune.oleggio.no.it,45.596066,8.638566
Q3867795,musees,"Museo civico archeologico della Città romana di Suasa ""Alvaro Casagrande""","Museo civico archeologico della Città romana di Suasa ""Alvaro Casagrande""",042,node/3669921809,Fr-Su 16:00-20:00,yes,https://www.progettosuasa.it/,43.609043,12.977209
Q3867774,musees,Museo civico Duilio Cambellotti,Museo civico Duilio Cambellotti,059,node/5070171856,"Mo-Sa 10:00-13:30,15:00-19:00; Su off",yes,https://museocambellotti.cittadifondazione.it/,41.464999,12.903581
Q16336782,musees,Museo archeologico territoriale della penisola sorrentina Georges Vallet,Museo archeologico territoriale della penisola sorrentina Georges Vallet,063,node/3581704750,Tu-Sa 09:00-18:50; Mo off,yes,http://www.polomusealecampania.beniculturali.it/index.php/il-museo-gvallet,40.638032,14.402098
Q3868236,musees,Museo Universitario di Chieti,Museo Universitario di Chieti,069,node/3278566861,Tu-Fr 09:00-19:30; Sa-Su 15:00-20:00,yes,https://www.museo.unich.it/,42.346126,14.165183
Q55376741,musees,Museo Tazio Nuvolari,Museo Tazio Nuvolari,020,node/6448384445,"Tu-Fr 15:00-18:00; Sa-Su 11:00-18:00; Mo off; ""only appointment""",yes,https://www.tazionuvolari.it/it/,45.152652,10.790615
Q3867629,musees,Museo Tattile Statale Omero,Museo Tattile Statale Omero,042,node/469094013,"Sep-Jun Tu-Sa 16:00-19:00; Sep-Jun PH,Su 10:00-13:00,16:00-19:00; Jul-Aug Tu-Sa 17:00-20:00; Jul-Aug Fr,Su 10:00-13:00,17:00-20:00; Aug 15 10:00-13:00,17:00-20:00; Jan 01,Dec 24,25,31 off",no,https://www.museoomero.it/main?pp=pagina_iniziale,43.613977,13.503700
Q54854695,musees,Museo Storico Aeronautico,Museo Storico Aeronautico,042,node/11023063270,"Sa-Su 10:30-12:30,16:30-19:30",no,https://museostoricoaeronautico.it/,43.440345,13.607794
Q1251366,musees,Museo Scienze Naturali - Naturmuseum,Museo Scienze Naturali - Naturmuseum,021,node/4728979210,Tu-Su 10:00-18:00; Mo off,yes,https://www.natura.museum/,46.501118,11.357096
Q3868200,musees,Museo Santa Cecilia di Organi Meccanici Antichi,Museo Santa Cecilia di Organi Meccanici Antichi,053,node/3587647657,"Jun-Sep: 10:30-13:00,15:30-19:00; Oct-May: 10:30-12:30,15:00-18:00",yes,https://www.museodegliorgani.it/,43.051294,10.892442
