# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q139580369,1,jardins,Jardin japonais « Île de Versailles »
Q1397720,2,sommets,Grand Ballon
Q1398911,3,maisons,Musée du Désert
Q1399583,3,sommets,Grand Wintersberg
Q1399824,3,cathedrales,Cathédrale Notre-Dame-de-l'Assomption de Luçon
Q1399857,2,sommets,Mont Sainte-Odile
Q1406850,3,monuments,Palais de l'Isle
Q1410336,3,cathedrales,Cathédrale Saint-Maurice de Vienne
Q1411180,3,musees,Musée du Luxembourg
Q1412839,3,sommets,Monte Incudine
Q1413346,3,lacs,Lac de Madine
Q1414059,1,jardins,Parc Monceau
Q1414641,2,lacs,Lac de Longemer
Q1418854,2,musees,Ouvrage de Schoenenbourg
Q1419562,3,megalithes,Tumulus Saint-Michel
Q1419757,2,cathedrales,Cathédrale Sainte-Marie-Majeure
Q1423005,2,cathedrales,Cathédrale Saint-Pierre-et-Saint-Paul
Q1424577,2,plages,Pointe de Pen-Hir
Q1424710,3,jardins,Parc Georges-Brassens
Q1425162,3,cathedrales,Cathédrale Saint-Samson de Dol-de-Bretagne
Q1425474,3,jardins,Jardin botanique de Haute-Bretagne
Q1431547,3,monuments,Tour Saint-Jacques
Q143463,1,monuments,Palais des papes
Q1434679,2,lacs,Lac de Saint-Cassien
Q1435049,1,plages,Médoc
Q1435689,2,musees,Fondation Maeght
Q1436883,3,chateaux,Château de Maintenon
Q1438801,2,monuments,Fort de Vaux
Q1438857,3,chateaux,Fort de Seclin
Q1438865,3,chateaux,Fort de Roppe
Q1438870,3,chateaux,Fort des Hautes Perches
Q1438878,3,chateaux,Fort du Bois d'Oye
Q14420304,3,chateaux,Château de Lanniron
Q1451798,3,chateaux,Château de Josselin
Q145306,3,villages,Larressingle
Q1455591,3,chateaux,Château du Wasenbourg
Q1456446,1,sommets,Le Reculet
Q14565687,2,rochers,Baousso del Biel
Q1458431,3,lacs,Réservoir de Bouzey
Q1460090,2,ponts,Pont-Neuf
Q1462683,3,chateaux,Château des Réaux
Q14628539,3,megalithes,Temple de Mars à Corseul
Q1464908,3,cathedrales,Basilique Saint-Martin de Tours
Q1468594,3,cathedrales,Cathédrale Notre-Dame de Coutances
Q1470842,2,chateaux,Château de Sully-sur-Loire
Q1473446,1,maisons,Fondation Claude-Monet
Q1476342,3,villages,Hell-Bourg
Q1479356,3,chateaux,Château de Talcy
Q1480604,2,chateaux,Château de Pau
Q1481233,3,cathedrales,Cathédrale Saint-Pierre de Poitiers
Q1487492,2,grottes,Grotte des Combarelles I
Q148959,3,villages,Riquewihr
Q14918218,3,jardins,Jardin japonais de Dijon
Q1493222,3,cathedrales,Cathédrale Saint-Alexandre-Nevsky
Q1494461,2,monuments,Tour Vauban
Q1496402,1,cascades,Cascade de Gavarnie
Q1496494,2,iles,Gavrinis
Q1500472,1,plages,Pointe du Raz
Q1503331,2,monuments,Obélisque de Louxor
Q15056170,2,maisons,Maison des Lumières Denis Diderot
Q1509963,2,sommets,Montagne Noire
Q1510,2,megalithes,Théâtre antique de Lyon
Q15106714,3,monuments,Arc Héré
Q1514062,3,cathedrales,Basilique Sainte-Clotilde
Q1514576,2,ponts,Pont du Diable
Q1516,2,cathedrales,Basilique Notre-Dame de Fourvière
Q1516747,3,chateaux,Château de Commarque
Q15169072,3,cascades,Cascade de la queue de cheval
Q1517182,2,sommets,Mont Agel
Q1517348,3,chateaux,Château de Châteauneuf
Q1518963,3,monuments,Tour de Constance
Q1518970,1,sommets,Montagne Sainte-Victoire
Q1518981,3,chateaux,Château de Puymartin
Q1518999,3,cathedrales,Cathédrale Saint-Étienne d'Auxerre
Q1519002,2,musees,Musée Fabre
Q1519275,3,megalithes,Gesoriacum
Q1520841,3,chateaux,Château de Saint-Germain-en-Laye
Q1520861,3,ponts,Pont des Catalans
Q1521,2,cathedrales,Primatiale Saint-Jean de Lyon
Q15214745,3,chateaux,Donjon de Niort
Q15229399,2,jardins,Jardin d'Albertas
Q1526555,3,megalithes,Temple de Janus
Q1530976,3,musees,Musée français de la carte à jouer
Q1535929,2,lacs,Lac d'Hourtin et de Carcans
Q1535963,3,musees,Musée des Beaux-Arts de Strasbourg
Q1537302,3,cathedrales,Cathédrale Notre-Dame du Puy-en-Velay
Q1538216,1,gorges,Gorges de l'Ardèche
Q153822,2,iles,Basse-Terre
Q1538222,1,gorges,Gorges de Galamus
Q1538251,1,gorges,Gorges du Tarn
Q1538826,3,musees,Musée des Arts et Métiers
Q1538929,2,jardins,Parc Montsouris
Q1539168,3,cathedrales,Cathédrale Saint-Sauveur d'Aix-en-Provence
Q1540116,1,grottes,Gouffre de Padirac
Q1545452,1,volcans,Piton des Neiges
Q1547643,2,grottes,Grotte du Lazaret
Q1547865,3,chateaux,Château de Dampierre
Q1548218,3,chateaux,Château de Montrésor
Q1548414,3,chateaux,Château d'Azay-le-Ferron
Q1552130,3,chateaux,Château de Bussy-Rabutin
Q1552366,2,chateaux,Château du Haut-Koenigsbourg
Q1553818,1,lacs,Lac de Retournemer
Q155413,3,villages,Sainte-Agnès
Q1557685,3,musees,Château de Guédelon
Q15627617,2,maisons,Musée Ampère
Q15627675,3,maisons,Musée des Papeteries Canson et Montgolfier
Q1563071,2,cathedrales,Cathédrale Saint-Julien du Mans
Q1563354,3,musees,Musée Matisse
Q15638587,3,megalithes,Tumulus du Montioux
Q1567808,2,gorges,Gorges de la Spelunca
Q1569125,3,chateaux,Château de Baronville
Q15695629,3,chateaux,Château de Gournay-sur-Marne
Q15696502,3,iles,Île Vierge
Q15714017,3,musees,Aeroscopia
Q1574024,3,sommets,Storkenkopf
Q1574432,2,maisons,Villa Noailles
Q1578858,3,lacs,Lac de Capitello
Q1579344,3,chateaux,Château de Sceaux
Q1579504,3,musees,Musée d'Ennery
Q15834830,3,megalithes,Pierre Percée
Q1583780,3,monuments,La Samaritaine
Q1585909,3,musees,Musée du Général Leclerc de Hauteclocque et de la Libération de Paris - musée Jean-Moulin
Q1586486,3,cathedrales,Cathédrale Saint-Jean de Besançon
Q1587628,3,musees,Musée national de Céramique
